2026-04-03 11:10:07 | ====================================================
GridCFN Configuration
====================================================

[Data]
  dataset                = solar
  data_path              = ./data/solar_AL.txt
  T_in                   = 168
  T_out                  = 1
  adj_threshold          = 0.95
  batch_size             = 32

[Model]
  in_dim                 = 1
  gcn_hidden             = 64
  gcn_layers             = 2
  tcn_hidden             = 64
  tcn_layers             = 4
  env_dim                = 32
  stoch_dim              = 32
  ms_out_dim             = 32
  n_scg_layers           = 3
  out_dim                = 1
  lambda_mi              = 0.5

[Train]
  lr                     = 0.0005
  max_epochs             = 200
  patience               = 20
  lr_decay_factor        = 0.5
  lr_decay_patience      = 10
  grad_clip              = 1.0
  weight_decay           = 1e-05
  save_path              = best_model.pt
  seed                   = 42
  warmup_epochs          = 5
  gpu_id                 = -1
  log_dir                = logs
  log_to_console         = True
====================================================
2026-04-03 11:10:07 | Device : GPU 0: NVIDIA GeForce RTX 3090  (23.6 GB)
2026-04-03 11:10:08 | Graph  : 137 nodes, 2884 edges
2026-04-03 11:10:08 | Parameters : 202,182

2026-04-03 11:10:09 |  Epoch |     Loss |      NLL |      MI |  Val MAE |  Val RMSE |  Val CRPS |       LR |   Time
2026-04-03 13:32:13 |     34 |  -1.4375 |  -1.4374 | -0.0002 |   0.1402 |    0.3467 |    0.1050 | 5.00e-04 | 251.0s
2026-04-03 13:36:24 |     35 |  -1.9652 |  -1.9652 | -0.0001 |   0.1317 |    0.3369 |    0.1007 | 5.00e-04 | 251.0s
2026-04-03 13:40:35 |     36 |  -2.5800 |  -2.5800 | -0.0001 |   0.1421 |    0.3548 |    0.1058 | 5.00e-04 | 251.1s
2026-04-03 13:44:46 |     37 |  -1.9416 |  -1.9414 | -0.0003 |   0.1753 |    0.4131 |    0.1311 | 5.00e-04 | 251.0s
2026-04-03 13:48:57 |     38 |  -1.5169 |  -1.5169 | -0.0001 |   0.1393 |    0.3461 |    0.1043 | 2.50e-04 | 251.1s
2026-04-03 13:53:08 |     39 |  -2.3055 |  -2.3055 | -0.0000 |   0.1292 |    0.3325 |    0.0988 | 2.50e-04 | 251.1s
2026-04-03 13:57:19 |     40 |  -2.5000 |  -2.5000 | -0.0000 |   0.1311 |    0.3370 |    0.0996 | 2.50e-04 | 251.1s
2026-04-03 14:01:30 |     41 |  -2.4482 |  -2.6599 |  0.4234 |   0.1275 |    0.3290 |    0.0962 | 2.50e-04 | 251.1s
2026-04-03 14:05:41 |     42 |  -1.8073 |  -2.6808 |  1.7470 |   0.1258 |    0.3264 |    0.0948 | 2.50e-04 | 251.1s
2026-04-03 14:09:52 |     43 |  -1.7728 |  -2.6988 |  1.8519 |   0.1453 |    0.3497 |    0.1043 | 2.50e-04 | 251.0s
2026-04-03 14:14:04 |     44 |  -1.7468 |  -2.6332 |  1.7728 |   0.1925 |    0.4134 |    0.1413 | 2.50e-04 | 251.1s
2026-04-03 14:18:15 |     45 |  -1.9195 |  -2.6370 |  1.4349 |   0.1287 |    0.3302 |    0.0985 | 2.50e-04 | 251.0s
