baseline,metric,dcfm,baseline_value,improvement,relative_improvement_percent,ci95_low,ci95_high,p_value_two_sided,n_windows
TSFlow,MAE,0.9106154441833496,0.929732084274292,0.01911660097539425,2.056140899658203,0.012709506624378263,0.02560449782758951,0.0,10333
TSFlow,RMSE,1.3610237836837769,1.521890640258789,0.16086679697036743,10.570194244384766,0.15175521969795228,0.16994259990751742,0.0,10333
MTGNN,MAE,0.9106154441833496,0.9058003425598145,-0.004815178923308849,-0.5315938591957092,-0.0117747881449759,0.0020095478801522384,0.172,10333
MTGNN,RMSE,1.3610237836837769,1.3859891891479492,0.024965306743979454,1.8012628555297852,0.01653555314987898,0.03344077728688717,0.0,10333
