experiment,cfm_head,MAE,RMSE,MAPE,CRPS,PICP,PINAW,MAE_norm,RMSE_norm,MAPE_norm,CRPS_norm,PICP_norm,PINAW_norm,best_val_CRPS,epochs_run,best_T
noclub__noclub_ms_scgmp_rank_wind,cfm,0.93,2.2594,17519259.45,0.6561,0.9338,0.0445,0.0892,0.2168,67.1458,0.0629,0.9338,0.0445,0.0672,60,0.8
noms__club_noms_scgmp_rank_wind,cfm,0.8861,2.2152,17564298.01,0.6336,0.9513,0.0462,0.085,0.2125,73.5364,0.0608,0.9513,0.0462,0.0645,73,0.9
nomsscgmp__club_noms_noscgmp_rank_wind,cfm,0.8421,2.2075,13104825.44,0.6113,0.9461,0.0412,0.0808,0.2118,67.9632,0.0587,0.9461,0.0412,0.0642,114,0.9
none__noclub_noms_noscgmp_norank_nowind,cfm,0.8774,2.2339,15300409.31,0.6309,0.9445,0.0431,0.0842,0.2143,67.2191,0.0605,0.9445,0.0431,0.0644,126,0.9
norank__club_ms_scgmp_norank_wind,cfm,0.8888,2.2868,14650891.26,0.6431,0.9352,0.0412,0.0853,0.2194,69.0817,0.0617,0.9352,0.0412,0.0665,105,0.8
noscgmp__club_ms_noscgmp_rank_wind,cfm,0.8771,2.2108,16151311.39,0.6262,0.9377,0.0431,0.0841,0.2121,68.5869,0.0601,0.9377,0.0431,0.0644,82,0.8
