experiment,cfm_head,MAE,RMSE,MAPE,CRPS,PICP,PINAW,MAE_norm,RMSE_norm,MAPE_norm,CRPS_norm,PICP_norm,PINAW_norm,best_val_CRPS,epochs_run,best_T
noclub__noclub_ms_scgmp_rank_wind_cfm,cfm,277.6607,1780.7064,1509725.149,209.3169,0.9369,0.0016,0.0185,0.1183,31.2456,0.0139,0.9369,0.0016,0.0128,78,0.6
noms__club_noms_scgmp_rank_wind_cfm,cfm,297.9446,2267.8707,1993219.0999,228.4856,0.925,0.0015,0.0198,0.1507,33.1556,0.0152,0.925,0.0015,0.0126,154,0.6
noscgmp__club_ms_noscgmp_rank_wind_cfm,cfm,313.9616,2078.2375,2561396.1858,233.763,0.9374,0.0017,0.0209,0.1381,33.9838,0.0155,0.9374,0.0017,0.0142,73,0.6
norank__club_ms_scgmp_norank_wind_cfm,cfm,285.2072,2046.9287,1591425.7367,216.3888,0.9268,0.0015,0.019,0.136,30.9658,0.0144,0.9268,0.0015,0.0126,142,0.6
nomsscgmp__club_noms_noscgmp_rank_wind_cfm,cfm,313.7948,2302.0123,1693121.4997,240.9519,0.9292,0.0015,0.0209,0.153,33.6636,0.016,0.9292,0.0015,0.014,120,0.6
none__noclub_noms_noscgmp_norank_nowind_cfm,cfm,294.482,2308.0307,1393709.318,227.7184,0.9337,0.0015,0.0196,0.1534,30.1722,0.0151,0.9337,0.0015,0.0135,155,0.6
